Time,CPU Usage
45107.523769,0.5
45107.523816,0.1
45107.523862,0.1
45107.523908,23.4
45107.523955,53.7
45107.524001,42.0
45107.524047,37.8
45107.524094,36.9
45107.524140,37.0
45107.524186,36.6
45107.524232,37.7
45107.524279,36.9
45107.524325,38.2
45107.524371,15.0
45107.524418,35.0
45107.524464,36.5
45107.524510,36.5
45107.524557,37.1
45107.524603,36.9
45107.524649,36.8
45107.524696,36.7
45107.524742,36.6
45107.524788,36.5
45107.524835,21.9
45107.524881,20.3
45107.524927,42.5
45107.524973,46.9
45107.525020,49.0
45107.525066,47.8
45107.525112,49.0
45107.525159,48.7
45107.525205,48.5
45107.525251,49.3
45107.525298,43.0
45107.525344,15.2
45107.525390,47.2
45107.525436,48.1
45107.525483,50.0
45107.525529,50.1
45107.525576,50.3
45107.525622,49.9
45107.525668,50.2
45107.525714,49.8
45107.525761,48.9
45107.525807,11.0
45107.525853,16.6
45107.525900,16.8
45107.525946,17.3
45107.525992,17.2
45107.526039,17.1
45107.526085,17.1
45107.526131,17.2
45107.526177,17.2
45107.526224,17.1
45107.526270,7.7
45107.526316,13.6
45107.526363,17.4
45107.526409,16.9
45107.526455,17.3
45107.526502,17.3
45107.526548,17.3
45107.526594,17.2
45107.526641,17.2
45107.526687,17.2
45107.526733,11.5
45107.526780,5.7
45107.526826,19.9
45107.526872,20.0
45107.526918,18.6
45107.526965,21.1
45107.527011,21.0
45107.527057,20.9
45107.527104,20.0
45107.527150,19.9
45107.527196,18.9
45107.527243,4.0
45107.527289,20.6
45107.527335,20.1
45107.527382,20.6
45107.527428,20.8
45107.527474,20.7
45107.527521,20.8
45107.527567,20.1
45107.527613,19.9
45107.527659,20.0
45107.527706,4.9
45107.527752,0.0
45107.527798,0.0
45107.527845,0.0
45107.527891,0.0
45107.527937,0.0
