Time,Used
45107.523723,24448584
45107.523769,24448584
45107.523815,24448584
45107.523862,24448584
45107.523908,54558240
45107.523954,63073968
45107.524001,166590720
45107.524047,133253792
45107.524093,351736736
45107.524140,67326584
45107.524186,370016520
45107.524232,85018304
45107.524279,169570048
45107.524325,195188408
45107.524371,52720968
45107.524418,78751720
45107.524464,179759072
45107.524510,71573248
45107.524557,180850080
45107.524603,206871064
45107.524649,115230112
45107.524695,216463888
45107.524742,326196208
45107.524788,100399680
45107.524834,184342472
45107.524881,319580920
45107.524927,345818256
45107.524973,196072288
45107.525020,70465552
45107.525066,138691520
45107.525112,155879096
45107.525159,97589040
45107.525205,317056408
45107.525251,300592432
45107.525297,343100040
45107.525344,376897936
45107.525390,469467104
45107.525436,210356312
45107.525483,177463680
45107.525529,353637984
45107.525575,77684136
45107.525622,472247504
45107.525668,112438560
45107.525714,397883472
45107.525761,155184936
45107.525807,406602432
45107.525853,423578160
45107.525900,88329752
45107.525946,340168920
45107.525992,147443976
45107.526038,374228912
45107.526085,189889072
45107.526131,408160848
45107.526177,207164960
45107.526224,308020600
45107.526270,308150336
45107.526316,149021616
45107.526363,98880304
45107.526409,258585120
45107.526455,409737712
45107.526502,99727296
45107.526548,250916232
45107.526594,368544304
45107.526640,184253480
45107.526687,436095584
45107.526733,75521872
45107.526779,394537432
45107.526826,319286016
45107.526872,185460984
45107.526918,143655288
45107.526965,185975608
45107.527011,244884480
45107.527057,245043040
45107.527104,471917064
45107.527150,279140280
45107.527196,346357024
45107.527243,329834736
45107.527289,447497072
45107.527335,162669816
45107.527381,464818248
45107.527428,230104504
45107.527474,398298216
45107.527520,146796120
45107.527567,113636512
45107.527613,357081320
45107.527659,105563888
45107.527706,214622144
45107.527752,214622144
