Time,Live threads
45107.523723,23
45107.523769,24
45107.523815,24
45107.523862,24
45107.523909,50
45107.523954,50
45107.524001,55
45107.524047,55
45107.524094,55
45107.524140,55
45107.524186,55
45107.524232,55
45107.524279,55
45107.524325,55
45107.524371,55
45107.524418,55
45107.524464,55
45107.524510,55
45107.524557,55
45107.524603,55
45107.524649,55
45107.524695,54
45107.524742,54
45107.524788,52
45107.524834,52
45107.524881,52
45107.524927,52
45107.524973,52
45107.525020,52
45107.525066,52
45107.525112,52
45107.525159,52
45107.525205,52
45107.525251,52
45107.525297,52
45107.525344,52
45107.525390,52
45107.525436,52
45107.525483,52
45107.525529,52
45107.525576,52
45107.525622,52
45107.525668,52
45107.525714,52
45107.525761,52
45107.525807,52
45107.525853,52
45107.525900,52
45107.525946,52
45107.525992,52
45107.526038,52
45107.526085,52
45107.526131,52
45107.526177,52
45107.526224,52
45107.526270,52
45107.526316,52
45107.526363,52
45107.526409,52
45107.526455,52
45107.526502,52
45107.526548,52
45107.526594,52
45107.526640,52
45107.526687,52
45107.526733,52
45107.526779,52
45107.526826,52
45107.526872,52
45107.526918,52
45107.526965,52
45107.527011,52
45107.527057,52
45107.527104,52
45107.527150,52
45107.527196,52
45107.527243,52
45107.527289,52
45107.527335,52
45107.527381,52
45107.527428,52
45107.527474,52
45107.527520,52
45107.527567,52
45107.527613,52
45107.527659,52
45107.527706,52
45107.527752,52
45107.527798,52
45107.527845,52
