Time,CPU Usage
45093.613303,0.6
45093.613349,0.0
45093.613396,23.9
45093.613442,41.0
45093.613488,23.0
45093.613535,20.4
45093.613581,21.9
45093.613627,22.6
45093.613674,19.5
45093.613720,20.2
45093.613766,20.0
45093.613812,19.7
45093.613859,18.7
45093.613905,19.5
45093.613951,19.7
45093.613998,19.7
45093.614044,19.2
45093.614090,11.6
45093.614137,19.8
45093.614183,19.6
45093.614229,19.1
45093.614276,19.3
45093.614322,18.8
45093.614368,19.8
45093.614415,19.9
45093.614475,20.1
45093.614606,19.8
45093.614733,19.2
45093.614853,18.6
45093.614902,26.8
45093.614977,26.8
45093.615023,26.2
45093.615070,26.0
45093.615116,26.6
45093.615162,26.7
45093.615208,26.9
45093.615255,26.5
45093.615301,27.0
45093.615412,27.7
45093.615540,21.6
45093.615586,26.4
45093.615671,27.5
45093.615717,27.0
45093.615764,27.1
45093.615853,27.4
45093.615980,27.6
45093.616107,27.5
45093.616234,19.6
45093.616362,29.5
45093.616493,33.2
45093.616557,33.3
45093.616610,33.0
45093.616656,30.8
45093.616701,30.0
45093.616747,31.6
45093.616794,32.3
45093.616840,33.1
45093.616886,33.1
45093.616933,17.9
45093.616979,26.1
45093.617025,33.4
45093.617072,33.0
45093.617118,32.7
45093.617164,32.7
45093.617211,33.4
45093.617257,34.0
45093.617303,33.2
45093.617349,33.3
45093.617396,33.2
45093.617442,31.8
45093.617488,31.7
45093.617535,29.4
45093.617581,33.8
45093.617627,33.4
45093.617674,5.7
45093.617720,29.3
45093.617766,34.6
45093.617813,34.4
45093.617859,35.8
45093.617905,35.1
45093.617952,35.1
45093.617998,35.1
45093.618044,35.3
45093.618090,35.0
45093.618137,34.5
45093.618183,34.9
45093.618235,35.2
45093.618341,35.1
45093.618452,22.9
45093.618499,33.5
45093.618545,35.3
45093.618591,33.9
45093.618638,35.4
45093.618684,33.9
45093.618730,33.8
45093.618776,34.7
45093.618823,34.6
45093.618869,34.2
45093.618915,35.3
45093.618962,34.6
45093.619008,33.7
45093.619054,35.3
45093.619101,13.8
