Time,Used
45093.613257,24922784
45093.613303,24922784
45093.613349,24922784
45093.613396,62917952
45093.613442,88603720
45093.613488,39053264
45093.613534,64795696
45093.613581,90746160
45093.613627,57834704
45093.613673,58461272
45093.613720,75797296
45093.613766,68188616
45093.613812,60510032
45093.613859,69426736
45093.613905,61666136
45093.613951,79141408
45093.613998,88219304
45093.614044,55205120
45093.614090,81958944
45093.614136,82596944
45093.614183,83356152
45093.614229,67196088
45093.614275,42737320
45093.614322,60299296
45093.614368,52564544
45093.614414,86870400
45093.614474,71107824
45093.614605,65070856
45093.614733,50281760
45093.614851,293651888
45093.614898,352559376
45093.614976,126315472
45093.615022,143249208
45093.615068,135060320
45093.615115,219061120
45093.615161,319986704
45093.615207,387169944
45093.615254,76940104
45093.615300,202940992
45093.615412,362810456
45093.615539,396918040
45093.615585,397052064
45093.615670,237960928
45093.615717,347213824
45093.615763,112464792
45093.615851,213370568
45093.615979,406694208
45093.616106,105118872
45093.616233,139021768
45093.616361,168298016
45093.616492,152463648
45093.616556,404521352
45093.616608,362956928
45093.616655,103101760
45093.616701,195547008
45093.616747,61422744
45093.616794,153925760
45093.616840,137436992
45093.616886,414650112
45093.616932,196479008
45093.616979,272778352
45093.617025,105242208
45093.617071,382438264
45093.617118,281987648
45093.617164,189856496
45093.617210,148087008
45093.617257,106387264
45093.617303,64715600
45093.617349,375155416
45093.617396,358635632
45093.617442,384116704
45093.617488,115849056
45093.617535,275489152
45093.617581,418167728
45093.617627,258928656
45093.617673,403447392
45093.617720,169675760
45093.617766,220383256
45093.617812,405239840
45093.617859,86806240
45093.617905,78840480
45093.617951,406477432
45093.617998,356264144
45093.618044,213819888
45093.618090,390266624
45093.618137,139031024
45093.618183,374290448
45093.618229,298930336
45093.618340,375164960
45093.618452,292920696
45093.618498,385412480
45093.618545,377330152
45093.618591,377597088
45093.618637,260470144
45093.618684,294263392
45093.618730,353157880
45093.618776,135409264
45093.618823,328585472
45093.618869,412371408
45093.618915,94088128
45093.618961,295552256
45093.619008,413546856
45093.619054,371450224
45093.619100,94495680
45093.619147,94495680
45093.619193,94495680
