Time,Live threads
45093.613258,23
45093.613303,24
45093.613349,24
45093.613396,60
45093.613442,60
45093.613488,60
45093.613534,60
45093.613581,60
45093.613627,60
45093.613673,60
45093.613720,60
45093.613766,60
45093.613812,60
45093.613859,60
45093.613905,60
45093.613951,60
45093.613998,60
45093.614044,60
45093.614090,65
45093.614137,65
45093.614183,65
45093.614229,65
45093.614275,65
45093.614322,62
45093.614368,62
45093.614415,62
45093.614474,62
45093.614605,62
45093.614733,62
45093.614853,72
45093.614898,72
45093.614976,72
45093.615023,72
45093.615069,72
45093.615115,72
45093.615162,72
45093.615208,72
45093.615254,72
45093.615300,72
45093.615412,72
45093.615539,72
45093.615585,72
45093.615671,72
45093.615717,72
45093.615763,72
45093.615851,72
45093.615979,72
45093.616106,72
45093.616234,72
45093.616362,82
45093.616493,82
45093.616556,82
45093.616608,82
45093.616655,82
45093.616701,82
45093.616747,82
45093.616794,82
45093.616840,82
45093.616886,82
45093.616933,82
45093.616979,82
45093.617025,82
45093.617071,82
45093.617118,82
45093.617164,82
45093.617211,82
45093.617257,82
45093.617303,82
45093.617349,82
45093.617396,82
45093.617442,82
45093.617488,82
45093.617535,82
45093.617581,82
45093.617627,82
45093.617674,82
45093.617720,82
45093.617766,82
45093.617812,82
45093.617859,82
45093.617905,82
45093.617951,82
45093.617998,82
45093.618044,82
45093.618090,82
45093.618137,82
45093.618183,82
45093.618229,82
45093.618340,82
45093.618452,82
45093.618498,82
45093.618545,82
45093.618591,82
45093.618638,82
45093.618684,82
45093.618730,82
45093.618776,82
45093.618823,82
45093.618869,82
45093.618915,82
45093.618962,82
45093.619008,82
45093.619054,82
45093.619100,82
45093.619147,82
45093.619193,82
45093.619239,82
45093.619286,82
45093.619332,82
