Time,CPU Usage
45107.540610,0.7
45107.540657,0.1
45107.540703,12.9
45107.540749,51.1
45107.540795,31.0
45107.540842,27.6
45107.540888,18.0
45107.540934,16.1
45107.540980,17.0
45107.541029,16.0
45107.541141,16.2
45107.541187,9.7
45107.541297,18.1
45107.541343,17.2
45107.541436,17.7
45107.541481,17.2
45107.541527,17.1
45107.541573,14.3
45107.541620,15.1
45107.541666,10.3
45107.541713,11.6
45107.541759,16.5
45107.541805,16.2
45107.541851,16.5
45107.541898,15.6
45107.541944,16.0
45107.541990,17.2
45107.542037,14.9
45107.542084,16.5
45107.542150,16.7
45107.542196,9.0
45107.542242,17.5
45107.542324,17.2
45107.542370,17.0
45107.542446,17.4
45107.542492,17.9
45107.542566,17.1
45107.542612,17.1
45107.542658,17.5
45107.542705,8.7
45107.542787,18.5
45107.542833,17.5
45107.542891,18.6
45107.542938,17.9
45107.543035,18.0
45107.543082,17.0
45107.543151,18.5
45107.543197,17.2
45107.543244,8.7
45107.543290,17.2
45107.543336,17.4
45107.543383,17.3
45107.543430,17.3
45107.543480,17.4
45107.543527,17.6
45107.543610,18.0
45107.543656,18.4
45107.543731,18.4
45107.543777,11.5
45107.543824,14.8
45107.543915,18.5
45107.543962,19.1
45107.544081,18.6
45107.544126,18.3
45107.544173,18.1
45107.544271,18.5
45107.544317,19.0
45107.544378,17.7
45107.544424,9.4
45107.544471,18.3
45107.544547,18.8
45107.544593,18.6
45107.544639,17.9
45107.544685,18.1
45107.544731,18.4
45107.544777,18.4
45107.544824,18.0
45107.544870,18.3
45107.544917,18.1
45107.544963,18.7
45107.545009,17.1
45107.545055,0.0
45107.545102,0.0
45107.545148,0.0
45107.545194,0.0
