Time,Used
45107.540564,24486808
45107.540610,24486808
45107.540656,24486808
45107.540702,83345408
45107.540749,174772816
45107.540795,107249400
45107.540841,298902120
45107.540888,384512256
45107.540934,311444928
45107.540980,284305800
45107.541027,227164688
45107.541140,243620424
45107.541186,334575616
45107.541296,81727688
45107.541342,117632160
45107.541434,210812480
45107.541481,209883648
45107.541527,133586944
45107.541573,126711312
45107.541620,210084352
45107.541666,227506248
45107.541712,361190912
45107.541759,118541504
45107.541805,229491656
45107.541851,398262712
45107.541898,162655792
45107.541944,288762080
45107.541990,179199872
45107.542037,272271176
45107.542083,153813344
45107.542149,329973568
45107.542195,322750608
45107.542241,315097632
45107.542323,296251552
45107.542370,263138000
45107.542445,339782896
45107.542491,289357760
45107.542565,296265136
45107.542611,222877520
45107.542658,161468176
45107.542704,191979728
45107.542786,168925944
45107.542832,558366272
45107.542890,338613768
45107.542936,505083784
45107.543035,137242144
45107.543081,675725824
45107.543151,533119488
45107.543197,398901760
45107.543243,285694944
45107.543289,178724576
45107.543336,818332160
45107.543382,669453536
45107.543428,541472072
45107.543480,617066752
45107.543527,516059448
45107.543608,777279000
45107.543655,734631520
45107.543730,114725288
45107.543776,187507232
45107.543823,738270616
45107.543914,560121856
45107.543961,316791120
45107.544079,305895456
45107.544126,675952288
45107.544172,1048617552
45107.544270,873143792
45107.544317,195092480
45107.544377,820131840
45107.544423,516700160
45107.544469,821803664
45107.544546,1036633400
45107.544592,312670080
45107.544638,599590496
45107.544685,868640400
45107.544731,1074316896
45107.544777,282667520
45107.544824,558137976
45107.544870,790335096
45107.544916,1092377736
45107.544963,409729792
45107.545009,489604408
45107.545055,497993016
