Time,Live threads
45107.540564,23
45107.540610,24
45107.540656,24
45107.540704,80
45107.540749,80
45107.540795,80
45107.540842,85
45107.540888,85
45107.540934,85
45107.540980,85
45107.541028,85
45107.541140,85
45107.541187,85
45107.541297,85
45107.541343,85
45107.541435,85
45107.541481,85
45107.541527,84
45107.541573,84
45107.541620,82
45107.541666,82
45107.541712,82
45107.541759,82
45107.541805,82
45107.541851,82
45107.541898,82
45107.541944,82
45107.541990,82
45107.542037,82
45107.542084,82
45107.542149,82
45107.542195,82
45107.542241,82
45107.542323,82
45107.542370,82
45107.542445,82
45107.542492,82
45107.542566,82
45107.542612,82
45107.542658,82
45107.542704,82
45107.542786,82
45107.542833,82
45107.542890,82
45107.542936,82
45107.543035,82
45107.543081,82
45107.543151,82
45107.543197,82
45107.543244,82
45107.543290,82
45107.543336,82
45107.543383,82
45107.543429,82
45107.543480,82
45107.543527,82
45107.543609,82
45107.543655,82
45107.543730,82
45107.543777,82
45107.543823,82
45107.543915,82
45107.543961,82
45107.544080,82
45107.544126,82
45107.544172,82
45107.544270,82
45107.544317,82
45107.544377,82
45107.544423,82
45107.544470,82
45107.544546,82
45107.544592,82
45107.544639,82
45107.544685,82
45107.544731,82
45107.544777,82
45107.544824,82
45107.544870,82
45107.544916,82
45107.544963,82
45107.545009,82
45107.545055,82
45107.545102,82
