Time,CPU Usage
45099.457678,0.6
45099.457724,0.1
45099.457773,22.6
45099.457817,28.6
45099.457864,30.1
45099.457910,27.4
45099.457956,28.7
45099.458003,25.6
45099.458050,27.3
45099.458095,26.1
45099.458142,28.2
45099.458188,27.0
45099.458237,28.6
45099.458280,27.8
45099.458327,29.0
45099.458373,29.2
45099.458419,28.0
45099.458466,28.0
45099.458512,11.4
45099.458558,19.2
45099.458606,28.1
45099.458653,26.8
45099.458697,25.7
45099.458744,29.1
45099.458790,26.0
45099.458836,28.4
45099.458882,26.5
45099.458929,26.2
45099.458976,27.4
45099.459021,26.6
45099.459068,28.6
45099.459114,27.2
45099.459161,26.6
45099.459207,27.0
45099.459253,25.8
45099.459300,14.5
45099.459346,20.9
45099.459392,25.2
45099.459438,31.1
45099.459485,35.0
45099.459531,33.9
45099.459577,34.2
45099.459624,33.6
45099.459689,31.2
45099.459720,31.8
45099.459766,32.0
45099.459812,32.0
45099.459863,34.6
45099.459905,29.8
45099.459951,31.7
45099.459997,29.4
45099.460044,34.9
45099.460090,32.8
45099.460136,29.8
45099.460183,9.0
45099.460229,26.1
45099.460276,30.5
45099.460322,32.6
45099.460368,31.1
45099.460414,30.4
45099.460461,31.4
45099.460509,29.8
45099.460553,29.3
45099.460601,34.8
45099.460646,29.0
45099.460692,31.1
45099.460741,34.0
45099.460785,29.5
45099.460831,32.1
45099.460878,30.6
45099.460924,30.4
45099.460970,31.8
45099.461016,16.9
45099.461064,24.9
45099.461109,30.1
45099.461156,27.4
45099.461202,27.3
45099.461248,28.5
45099.461294,26.2
45099.461341,27.8
45099.461387,28.2
45099.461433,20.8
45099.461480,29.5
45099.461526,29.7
45099.461574,27.0
45099.461619,25.7
45099.461665,30.3
45099.461711,28.7
45099.461758,22.0
45099.461804,28.1
45099.461850,19.2
45099.461897,15.4
45099.461943,24.2
45099.461990,24.2
45099.462036,26.4
45099.462083,22.4
45099.462128,30.4
45099.462175,25.4
45099.462221,24.6
45099.462267,26.1
45099.462313,22.5
45099.462360,30.7
45099.462406,30.0
45099.462453,30.4
45099.462499,30.2
45099.462545,31.6
45099.462592,28.6
45099.462638,30.2
45099.462684,30.1
45099.462730,19.1
45099.462777,23.1
45099.462823,32.6
45099.462869,30.1
45099.462916,25.8
45099.462962,35.9
45099.463009,35.7
45099.463055,31.2
45099.463102,28.8
45099.463194,39.5
45099.463232,26.7
45099.463280,26.5
45099.463426,31.6
45099.463599,31.8
45099.463670,35.8
45099.463729,29.2
45099.463818,35.2
45099.463908,26.8
45099.463950,20.5
45099.464000,28.8
45099.464120,31.4
45099.464289,33.4
45099.464399,30.8
45099.464449,33.6
45099.464599,32.4
45099.464715,33.5
45099.464752,33.2
45099.464839,32.0
45099.464882,33.1
45099.464921,26.5
45099.464968,31.5
45099.465013,1.7
45099.465060,0.0
45099.465106,0.0
45099.465152,0.0
45099.465199,0.0
45099.465245,0.0
45099.465291,0.0
45099.465338,0.0
