Time,Used
45106.574044,24378280
45106.574089,24378280
45106.574135,24378280
45106.574182,24378280
45106.574228,24378280
45106.574274,1367299072
45106.574321,3952038912
45106.574367,1819235424
45106.574413,3092206656
45106.574460,4465841184
45106.574506,1881101328
45106.574552,3110032464
45106.574599,4434383936
45106.574645,2096059488
45106.574691,3535754288
45106.574738,3571405904
45106.574784,3852424208
45106.574830,1728030320
45106.574876,3253752416
45106.574923,4498752968
45106.574969,2031136880
45106.575015,3639689808
45106.575062,1215440464
45106.575108,2629994528
45106.575154,4351783488
45106.575201,1880338032
45106.575296,2279901760
45106.575345,3729046560
45106.575450,1782369296
45106.575576,3229423184
45106.575702,4236056144
45106.575837,1384978016
45106.575897,2923368976
45106.575959,1584581184
45106.576012,3539948544
45106.576090,2182266896
45106.576147,3614621808
45106.576288,4506230800
45106.576344,3445092944
45106.576407,2692466304
45106.576453,4008970056
45106.576499,3911098208
45106.576546,2166862232
45106.576592,1234050368
45106.576638,1523074304
45106.576731,3809301704
45106.576778,3789529176
45106.576871,4509221760
45106.576993,3216210704
45106.577039,1439698448
45106.577109,4090860928
45106.577165,3051532544
45106.577226,1181555504
45106.577348,1643993992
45106.577394,2457943872
45106.577457,2673895216
45106.577507,3094399984
45106.577585,1116576600
45106.577631,4101580272
45106.577706,4011626352
45106.577753,1736738112
45106.577805,2798054928
45106.577851,1401686624
45106.577926,1368754136
45106.577973,3173711760
45106.578046,1288832240
45106.578092,2829543248
45106.578139,4059186224
45106.578185,999186672
45106.578231,1983010464
45106.578278,3141985280
45106.578324,1755779616
45106.578370,4231929184
45106.578417,2262827248
45106.578463,4168177232
45106.578509,2929584192
45106.578556,2196045000
45106.578602,3706785824
45106.578648,2605196608
45106.578748,4686062352
45106.578794,4686062352
45106.578841,4686062352
