Time,Live threads
45099.457632,23
45099.457678,24
45099.457724,24
45099.457773,50
45099.457817,50
45099.457863,50
45099.457910,50
45099.457956,50
45099.458002,50
45099.458050,50
45099.458095,50
45099.458141,50
45099.458188,50
45099.458234,50
45099.458280,50
45099.458327,50
45099.458373,50
45099.458419,50
45099.458466,50
45099.458512,50
45099.458558,55
45099.458605,55
45099.458652,54
45099.458697,52
45099.458743,52
45099.458790,52
45099.458836,52
45099.458882,52
45099.458929,52
45099.458976,52
45099.459021,52
45099.459068,52
45099.459114,52
45099.459161,52
45099.459207,52
45099.459253,52
45099.459300,52
45099.459346,52
45099.459392,52
45099.459438,52
45099.459485,52
45099.459531,52
45099.459577,52
45099.459624,52
45099.459688,52
45099.459719,52
45099.459766,52
45099.459812,52
45099.459860,52
45099.459905,52
45099.459951,52
45099.459997,52
45099.460044,52
45099.460090,52
45099.460136,52
45099.460183,52
45099.460229,52
45099.460275,52
45099.460322,52
45099.460368,52
45099.460414,52
45099.460461,52
45099.460509,52
45099.460553,52
45099.460600,52
45099.460646,52
45099.460692,52
45099.460740,52
45099.460785,52
45099.460831,52
45099.460877,52
45099.460924,52
45099.460970,52
45099.461016,52
45099.461064,52
45099.461109,52
45099.461155,52
45099.461202,52
45099.461248,52
45099.461294,52
45099.461341,52
45099.461387,52
45099.461433,52
45099.461480,52
45099.461526,52
45099.461572,52
45099.461619,52
45099.461665,52
45099.461711,52
45099.461758,52
45099.461804,52
45099.461850,52
45099.461896,52
45099.461943,52
45099.461989,52
45099.462036,52
45099.462083,52
45099.462128,52
45099.462175,52
45099.462221,52
45099.462267,52
45099.462313,52
45099.462360,52
45099.462406,52
45099.462453,52
45099.462499,52
45099.462545,52
45099.462591,52
45099.462638,52
45099.462684,52
45099.462730,52
45099.462777,52
45099.462823,52
45099.462869,52
45099.462916,52
45099.462962,52
45099.463008,52
45099.463055,52
45099.463102,52
45099.463190,52
45099.463227,52
45099.463267,52
45099.463426,52
45099.463598,52
45099.463661,52
45099.463728,52
45099.463818,52
45099.463906,52
45099.463950,52
45099.464000,52
45099.464116,52
45099.464288,52
45099.464390,52
45099.464449,52
45099.464599,52
45099.464703,52
45099.464744,52
45099.464836,52
45099.464876,52
45099.464921,52
45099.464967,52
45099.465013,52
45099.465060,52
45099.465106,52
45099.465152,52
45099.465199,52
45099.465245,52
