Time,CPU Usage
45093.566965,0.8
45093.567011,0.1
45093.567057,0.1
45093.567104,33.6
45093.567150,38.0
45093.567196,22.2
45093.567243,18.3
45093.567289,18.8
45093.567335,21.2
45093.567382,18.0
45093.567428,18.1
45093.567474,18.1
45093.567520,19.1
45093.567567,18.6
45093.567613,17.7
45093.567659,18.1
45093.567706,18.4
45093.567752,17.7
45093.567798,16.4
45093.567844,18.7
45093.567891,17.5
45093.567937,17.6
45093.567983,17.5
45093.568030,17.9
45093.568076,17.9
45093.568122,17.8
45093.568169,17.7
45093.568215,17.7
45093.568261,17.5
45093.568308,18.7
45093.568354,19.2
45093.568400,17.8
45093.568447,17.6
45093.568493,10.4
45093.568539,19.7
45093.568586,28.0
45093.568632,27.9
45093.568678,28.2
45093.568725,28.0
45093.568771,28.3
45093.568817,28.2
45093.568864,27.6
45093.568910,28.2
45093.568956,28.1
45093.569002,27.9
45093.569049,28.0
45093.569095,27.3
45093.569141,27.7
45093.569188,19.1
45093.569234,17.5
45093.569280,27.7
45093.569327,27.9
45093.569373,28.0
45093.569419,28.3
45093.569466,28.2
45093.569512,28.3
45093.569558,28.0
45093.569605,28.4
45093.569651,28.3
45093.569697,28.2
45093.569743,28.1
45093.569790,28.4
45093.569836,28.3
45093.569882,28.1
45093.569929,29.4
45093.569975,51.5
45093.570021,52.2
45093.570068,51.7
45093.570114,51.5
45093.570160,51.4
45093.570207,51.5
45093.570253,51.9
45093.570299,51.5
45093.570346,51.7
45093.570392,51.4
45093.570438,51.5
45093.570484,51.6
45093.570531,51.5
45093.570577,51.6
45093.570623,26.2
45093.570670,50.3
45093.570716,51.7
45093.570762,51.5
45093.570809,51.4
45093.570855,50.4
45093.570901,51.4
45093.570948,51.3
45093.570994,51.4
45093.571040,51.2
45093.571087,51.4
45093.571133,51.4
45093.571179,51.4
45093.571225,51.3
45093.571272,51.3
45093.571318,28.7
45093.571376,61.9
45093.571411,49.8
45093.571458,66.2
45093.571504,67.3
45093.571550,67.1
45093.571597,64.7
45093.571643,66.9
45093.571689,66.9
45093.571736,66.1
45093.571782,67.4
45093.571828,67.5
45093.571874,66.0
45093.571921,66.4
45093.571967,67.7
45093.572013,54.1
45093.572060,30.0
45093.572106,64.8
45093.572152,64.6
45093.572199,65.4
45093.572245,66.1
45093.572292,63.9
45093.572338,66.2
45093.572384,66.5
45093.572479,99.0
45093.572601,49.6
45093.572681,68.9
45093.572735,46.7
45093.572782,0.1
45093.572828,0.0
45093.572874,0.0
45093.572921,0.0
45093.572967,0.0
45093.573013,0.0
45093.573060,0.0
