Time,Used
45093.566919,24940496
45093.566965,24940496
45093.567011,24940496
45093.567057,24940496
45093.567104,68639936
45093.567150,60380936
45093.567196,52429408
45093.567242,52898864
45093.567289,53349856
45093.567335,45515136
45093.567381,54374568
45093.567428,38057152
45093.567474,63668200
45093.567520,80908944
45093.567567,72957048
45093.567613,65038040
45093.567659,48734416
45093.567705,65964552
45093.567752,91582896
45093.567798,34283360
45093.567844,76595800
45093.567891,68772320
45093.567937,44130816
45093.567983,44689456
45093.568030,36829344
45093.568076,45739872
45093.568122,54645600
45093.568169,63571712
45093.568215,38918992
45093.568261,64610560
45093.568308,39963080
45093.568354,48888752
45093.568400,41029200
45093.568446,75099072
45093.568493,58820736
45093.568539,59254192
45093.568585,85097408
45093.568632,60616816
45093.568678,52887024
45093.568724,45178592
45093.568771,79429952
45093.568817,46586184
45093.568863,64007840
45093.568910,47952712
45093.568956,65356560
45093.569002,57642432
45093.569049,75065152
45093.569095,102549152
45093.569141,44265120
45093.569188,78091600
45093.569234,112104976
45093.569280,78947200
45093.569327,62644992
45093.569373,105017760
45093.569419,88694888
45093.569466,47231536
45093.569512,47696752
45093.569558,98489160
45093.569604,98954288
45093.569651,65889184
45093.569697,91523504
45093.569743,83574240
45093.569790,75662736
45093.569836,67801456
45093.569882,76684208
45093.569929,112815728
45093.569975,180162128
45093.570021,357086728
45093.570068,374083296
45093.570114,273712256
45093.570160,366260800
45093.570207,299685544
45093.570253,316541784
45093.570299,333863624
45093.570345,267016048
45093.570392,141465760
45093.570438,352037120
45093.570484,310248000
45093.570531,184505952
45093.570577,126199760
45093.570623,236674928
45093.570670,169984640
45093.570716,304397952
45093.570762,262844528
45093.570809,120624784
45093.570855,246501392
45093.570901,130129904
45093.570947,331251816
45093.570994,231058384
45093.571040,105540400
45093.571086,332159504
45093.571133,231977480
45093.571179,198518320
45093.571225,73196688
45093.571272,325236288
45093.571318,149232272
45093.571365,74909120
45093.571411,167863400
45093.571458,67465832
45093.571504,395637128
45093.571550,362256096
45093.571596,261629048
45093.571643,320873608
45093.571689,338235824
45093.571735,321787152
45093.571782,347543704
45093.571828,373429680
45093.571874,239129136
45093.571921,415391872
45093.571967,424703960
45093.572013,416554560
45093.572060,299838528
45093.572106,166309536
45093.572152,409745424
45093.572199,385039152
45093.572245,158747920
45093.572291,75756160
45093.572338,210569272
45093.572384,92706288
45093.572433,76880184
45093.572595,279221568
45093.572650,78601232
45093.572735,280462200
45093.572781,280462200
45093.572828,280462200
