Time,Live threads
45093.566919,24
45093.566965,24
45093.567011,24
45093.567057,24
45093.567104,50
45093.567150,50
45093.567196,50
45093.567242,50
45093.567289,50
45093.567335,50
45093.567381,50
45093.567428,50
45093.567474,50
45093.567520,50
45093.567567,50
45093.567613,50
45093.567659,50
45093.567705,50
45093.567752,50
45093.567798,55
45093.567844,54
45093.567891,54
45093.567937,54
45093.567983,52
45093.568030,52
45093.568076,52
45093.568122,52
45093.568169,52
45093.568215,52
45093.568261,52
45093.568308,52
45093.568354,52
45093.568400,52
45093.568447,52
45093.568493,52
45093.568539,52
45093.568586,52
45093.568632,52
45093.568678,52
45093.568724,52
45093.568771,52
45093.568817,52
45093.568863,52
45093.568910,52
45093.568956,52
45093.569002,52
45093.569049,52
45093.569095,52
45093.569141,52
45093.569188,52
45093.569234,52
45093.569280,52
45093.569327,52
45093.569373,52
45093.569419,52
45093.569466,52
45093.569512,52
45093.569558,52
45093.569605,52
45093.569651,52
45093.569697,52
45093.569743,52
45093.569790,52
45093.569836,52
45093.569882,52
45093.569929,52
45093.569975,52
45093.570021,52
45093.570068,52
45093.570114,52
45093.570160,52
45093.570207,52
45093.570253,52
45093.570299,52
45093.570345,52
45093.570392,52
45093.570438,52
45093.570484,52
45093.570531,52
45093.570577,52
45093.570623,52
45093.570670,52
45093.570716,52
45093.570762,52
45093.570809,52
45093.570855,52
45093.570901,52
45093.570947,52
45093.570994,52
45093.571040,52
45093.571086,52
45093.571133,52
45093.571179,52
45093.571225,52
45093.571272,52
45093.571318,52
45093.571376,52
45093.571411,52
45093.571458,52
45093.571504,52
45093.571550,52
45093.571596,52
45093.571643,52
45093.571689,52
45093.571735,52
45093.571782,52
45093.571828,52
45093.571874,52
45093.571921,52
45093.571967,52
45093.572013,52
45093.572060,52
45093.572106,52
45093.572152,52
45093.572199,52
45093.572245,52
45093.572292,52
45093.572338,52
45093.572384,52
45093.572477,52
45093.572597,52
45093.572673,52
45093.572735,52
45093.572781,52
45093.572828,52
45093.572874,52
45093.572921,52
45093.572967,52
