Time,CPU Usage
45093.584878,0.7
45093.584924,15.4
45093.584970,46.3
45093.585017,20.7
45093.585063,19.0
45093.585109,18.8
45093.585156,21.9
45093.585202,19.0
45093.585248,18.9
45093.585295,18.7
45093.585341,18.6
45093.585387,19.0
45093.585433,18.9
45093.585480,18.5
45093.585526,19.1
45093.585572,19.3
45093.585619,12.8
45093.585665,24.8
45093.585711,19.3
45093.585758,19.2
45093.585804,18.9
45093.585850,19.0
45093.585897,19.7
45093.585943,18.8
45093.585989,18.9
45093.586036,19.0
45093.586082,19.1
45093.586128,19.0
45093.586174,19.1
45093.586221,18.8
45093.586267,18.9
45093.586313,15.5
45093.586360,15.7
45093.586406,29.2
45093.586453,29.6
45093.586499,29.9
45093.586545,29.9
45093.586591,29.8
45093.586638,29.9
45093.586684,30.2
45093.586730,29.9
45093.586777,29.8
45093.586823,29.7
45093.586870,29.8
45093.586916,30.0
45093.586962,29.9
45093.587008,30.1
45093.587055,10.3
45093.587101,25.7
45093.587147,29.9
45093.587194,29.8
45093.587240,29.5
45093.587286,29.8
45093.587333,29.6
45093.587379,29.9
45093.587425,30.2
45093.587472,30.1
45093.587518,30.1
45093.587564,30.3
45093.587611,30.2
45093.587657,30.0
45093.587703,29.7
45093.587750,18.0
45093.587796,46.2
45093.587842,48.0
45093.587888,49.1
45093.587935,48.2
45093.587981,48.7
45093.588027,48.6
45093.588074,48.6
45093.588120,48.8
45093.588166,49.3
45093.588213,49.5
45093.588259,48.8
45093.588305,48.8
45093.588352,48.5
45093.588398,49.0
45093.588444,31.7
45093.588491,32.0
45093.588537,48.4
45093.588583,48.8
45093.588630,48.5
45093.588676,48.8
45093.588722,48.7
45093.588769,48.9
45093.588815,49.0
45093.588861,48.8
45093.588908,48.9
45093.588954,49.2
45093.589001,48.9
45093.589047,48.7
45093.589093,49.0
45093.589139,45.7
45093.589186,7.6
45093.589232,51.0
45093.589278,60.7
45093.589325,62.7
45093.589371,64.7
45093.589417,61.1
45093.589463,64.7
45093.589510,66.0
45093.589556,65.2
45093.589602,65.5
45093.589649,65.1
45093.589695,63.8
45093.589741,63.4
45093.589788,65.3
45093.589834,62.4
45093.589880,19.6
45093.589927,49.6
45093.589973,62.4
45093.590019,64.2
45093.590066,63.5
45093.590112,61.1
45093.590158,62.9
45093.590204,66.1
45093.590251,61.9
45093.590297,63.6
45093.590343,64.3
45093.590390,64.9
45093.590436,63.7
45093.590483,64.6
45093.590529,64.3
45093.590575,37.0
45093.590621,0.0
45093.590668,0.0
45093.590714,0.0
45093.590760,0.0
45093.590807,0.0
45093.590853,0.0
