Time,Used
45093.584832,23761600
45093.584878,23761600
45093.584924,68846656
45093.584970,178452352
45093.585017,211738312
45093.585063,312521792
45093.585109,69392736
45093.585156,69610056
45093.585202,111703272
45093.585248,170555232
45093.585294,187451664
45093.585341,246269008
45093.585387,271562976
45093.585433,263241816
45093.585480,288517888
45093.585526,255073728
45093.585572,221624192
45093.585619,330730016
45093.585665,139313448
45093.585711,72277696
45093.585758,55483736
45093.585804,63932992
45093.585850,55668816
45093.585897,47358224
45093.585943,81018480
45093.585989,139866768
45093.586035,181891408
45093.586082,240721544
45093.586128,341487104
45093.586174,48060528
45093.586221,140445496
45093.586267,258021464
45093.586313,266516880
45093.586360,174554224
45093.586406,266965712
45093.586452,317416704
45093.586499,317559504
45093.586545,326062960
45093.586591,284287816
45093.586638,225742320
45093.586684,133597296
45093.586730,66623832
45093.586777,343562608
45093.586823,243030976
45093.586869,176058408
45093.586916,92304312
45093.586962,75671584
45093.587008,75811040
45093.587055,159968744
45093.587101,193657416
45093.587147,109867680
45093.587193,51289600
45093.587240,244349168
45093.587286,76733824
45093.587332,336911824
45093.587379,244775712
45093.587425,161054736
45093.587471,119247464
45093.587518,119410808
45093.587564,119541968
45093.587610,94560704
45093.587657,94744168
45093.587703,78114768
45093.587749,306404264
45093.587796,215148496
45093.587842,332989296
45093.587888,233011568
45093.587935,166188032
45093.587981,275916496
45093.588027,200731872
45093.588074,259886304
45093.588120,67828064
45093.588166,269402128
45093.588213,93575776
45093.588259,261748480
45093.588305,379880016
45093.588352,212627328
45093.588398,120741824
45093.588444,162988464
45093.588491,289868312
45093.588537,156376496
45093.588583,316287752
45093.588630,232769168
45093.588676,233019584
45093.588722,300736288
45093.588769,83005008
45093.588815,251231504
45093.588861,92343456
45093.588907,176861504
45093.588954,193917984
45093.589000,51707752
45093.589046,177883776
45093.589093,186967760
45093.589139,363267544
45093.589185,195818384
45093.589232,238948352
45093.589278,214307664
45093.589324,265007936
45093.589371,223845888
45093.589417,215733624
45093.589463,300070216
45093.589510,233345680
45093.589556,133183040
45093.589602,66272808
45093.589649,393662272
45093.589695,411285568
45093.589741,293919760
45093.589788,84988736
45093.589834,194035552
45093.589880,302998760
45093.589927,136440840
45093.589973,388802496
45093.590019,279828376
45093.590065,246630256
45093.590112,146560864
45093.590158,364936784
45093.590204,214265040
45093.590251,239642984
45093.590297,181403840
45093.590343,206931984
45093.590390,341532384
45093.590436,241665864
45093.590482,342851944
45093.590529,275611536
45093.590575,149880392
45093.590621,149880392
45093.590667,149880392
