Time,Live threads
45093.584832,24
45093.584878,25
45093.584924,51
45093.584970,51
45093.585017,51
45093.585063,51
45093.585109,51
45093.585156,51
45093.585202,51
45093.585248,51
45093.585294,51
45093.585341,51
45093.585387,51
45093.585433,51
45093.585480,51
45093.585526,51
45093.585572,50
45093.585619,55
45093.585665,55
45093.585711,55
45093.585758,53
45093.585804,53
45093.585850,53
45093.585897,53
45093.585943,52
45093.585989,52
45093.586036,52
45093.586082,52
45093.586128,52
45093.586174,52
45093.586221,52
45093.586267,52
45093.586313,52
45093.586360,52
45093.586406,52
45093.586452,52
45093.586499,52
45093.586545,52
45093.586591,52
45093.586638,52
45093.586684,52
45093.586730,52
45093.586777,52
45093.586823,52
45093.586870,52
45093.586916,52
45093.586962,52
45093.587008,52
45093.587055,52
45093.587101,52
45093.587147,52
45093.587193,52
45093.587240,52
45093.587286,52
45093.587333,52
45093.587379,52
45093.587425,52
45093.587471,52
45093.587518,52
45093.587564,52
45093.587610,52
45093.587657,52
45093.587703,52
45093.587749,52
45093.587796,52
45093.587842,52
45093.587888,52
45093.587935,52
45093.587981,52
45093.588027,52
45093.588074,52
45093.588120,52
45093.588166,52
45093.588213,52
45093.588259,52
45093.588305,52
45093.588352,52
45093.588398,52
45093.588444,52
45093.588491,52
45093.588537,52
45093.588583,52
45093.588630,52
45093.588676,52
45093.588722,52
45093.588769,52
45093.588815,52
45093.588861,52
45093.588908,52
45093.588954,52
45093.589001,52
45093.589047,52
45093.589093,52
45093.589139,52
45093.589185,52
45093.589232,52
45093.589278,52
45093.589324,52
45093.589371,52
45093.589417,52
45093.589463,52
45093.589510,52
45093.589556,52
45093.589602,52
45093.589649,52
45093.589695,52
45093.589741,52
45093.589788,52
45093.589834,52
45093.589880,52
45093.589927,52
45093.589973,52
45093.590019,52
45093.590065,52
45093.590112,52
45093.590158,52
45093.590204,52
45093.590251,52
45093.590297,52
45093.590343,52
45093.590390,52
45093.590436,52
45093.590482,52
45093.590529,52
45093.590575,52
45093.590621,52
45093.590667,52
45093.590714,52
45093.590760,52
