Time,CPU Usage
45098.479985,0.7
45098.480031,0.0
45098.480078,25.0
45098.480124,25.6
45098.480170,22.1
45098.480216,27.4
45098.480263,27.6
45098.480309,26.4
45098.480355,26.0
45098.480402,25.8
45098.480448,26.8
45098.480494,25.9
45098.480541,26.9
45098.480587,25.2
45098.480634,24.1
45098.480680,24.4
45098.480726,23.4
45098.480772,15.0
45098.480819,24.5
45098.480865,25.2
45098.480911,25.6
45098.480958,24.7
45098.481004,24.6
45098.481050,24.5
45098.481097,25.6
45098.481143,24.1
45098.481189,24.6
45098.481235,23.8
45098.481282,24.1
45098.481328,24.3
45098.481374,23.9
45098.481421,24.1
45098.481467,10.0
45098.481513,17.5
45098.481560,29.0
45098.481606,28.4
45098.481653,29.0
45098.481699,28.8
45098.481745,28.5
45098.481791,28.8
45098.481838,28.4
45098.481884,28.6
45098.481930,26.2
45098.481977,27.6
45098.482023,27.7
45098.482069,28.5
45098.482115,28.8
45098.482162,29.0
45098.482208,9.3
45098.482254,26.2
45098.482301,28.6
45098.482347,27.1
45098.482393,28.5
45098.482440,28.6
45098.482486,28.6
45098.482532,28.4
45098.482579,27.9
45098.482625,27.2
45098.482672,27.7
45098.482718,27.4
45098.482764,28.5
45098.482810,28.6
45098.482857,28.3
45098.482903,21.0
45098.482949,23.6
45098.482996,34.9
45098.483042,30.7
45098.483088,33.4
45098.483135,33.7
45098.483181,32.6
45098.483228,33.9
45098.483273,32.6
45098.483320,32.4
45098.483366,32.8
45098.483413,31.3
45098.483459,32.4
45098.483505,33.1
45098.483551,32.6
45098.483598,32.5
45098.483644,14.5
45098.483691,29.3
45098.483737,32.1
45098.483783,32.3
45098.483829,33.1
45098.483876,32.8
45098.483922,33.5
45098.483968,33.5
45098.484015,32.9
45098.484061,33.1
45098.484107,33.0
45098.484154,32.3
45098.484200,33.1
45098.484246,31.7
45098.484293,31.1
45098.484339,31.1
45098.484385,11.7
45098.484431,29.5
45098.484478,30.4
45098.484524,33.2
45098.484570,32.3
45098.484617,32.0
45098.484663,31.8
45098.484710,31.0
45098.484756,32.0
45098.484802,31.8
45098.484848,30.7
45098.484895,31.4
45098.484941,31.7
45098.484987,32.4
45098.485034,31.9
45098.485080,30.7
45098.485126,7.4
45098.485173,28.9
45098.485220,31.3
45098.485265,32.8
45098.485312,32.8
45098.485358,33.6
45098.485404,32.6
45098.485451,33.4
45098.485497,33.6
45098.485543,32.8
45098.485590,32.7
45098.485636,32.1
45098.485682,31.8
45098.485729,31.5
45098.485775,32.8
45098.485821,32.6
45098.485867,1.2
45098.485914,0.0
45098.485960,0.1
45098.486006,0.0
45098.486053,0.0
45098.486099,0.0
45098.486145,0.0
