Time,Used
45103.490240,24492928
45103.490285,24492928
45103.490332,186655792
45103.490378,877868560
45103.490424,882062928
45103.490471,870653472
45103.490517,203159784
45103.490563,421279296
45103.490610,325981712
45103.490656,488738896
45103.490702,885245536
45103.490749,679845408
45103.490795,307852912
45103.490841,1006324752
45103.490887,220144688
45103.490934,825313872
45103.490980,773003808
45103.491026,545707024
45103.491073,453535248
45103.491119,176817680
45103.491165,644712560
45103.491212,277833744
45103.491258,189999200
45103.491304,1071957600
45103.491351,880172656
45103.491397,812253856
45103.491484,625927232
45103.491532,758174768
45103.491577,452103312
45103.491624,375791696
45103.491714,967513104
45103.491772,388836880
45103.491888,1006902368
45103.491934,551883840
45103.491981,1088849984
45103.492027,423343136
45103.492073,843915296
45103.492120,562194512
45103.492166,1032045648
45103.492212,1176844400
45103.492259,602548784
45103.492305,383514656
45103.492351,972263264
45103.492400,903027216
45103.492459,1169728656
45103.492510,907648096
45103.492559,1166768208
45103.492622,784243824
45103.492669,327477296
45103.492766,904319504
45103.492907,627967504
45103.493001,557074000
45103.493047,1100329520
45103.493094,629836320
45103.493140,1145816672
45103.493186,609271392
45103.493232,171852040
45103.493279,1100918688
45103.493325,389073096
45103.493371,375057280
45103.493418,200135320
45103.493464,588411760
45103.493510,850870608
45103.493557,1228639368
45103.493603,898594496
45103.493650,548298272
45103.493696,1204225224
45103.493742,582694240
45103.493789,802013680
45103.493835,706014344
45103.493881,960925104
45103.493927,595218168
45103.493974,670779640
45103.494020,275789696
45103.494066,1312050128
45103.494113,202793536
45103.494159,187275848
45103.494205,1217219872
45103.494252,213088240
45103.494298,988166072
45103.494344,1005270656
45103.494391,630998000
45103.494437,325380640
45103.494483,154556744
45103.494530,330129416
45103.494576,1280169360
45103.494622,562246592
45103.494669,899708416
45103.494715,614278704
45103.494761,361698928
45103.494808,170328616
45103.494854,188540000
45103.494900,535552080
45103.494947,636031664
45103.494993,929580048
45103.495040,266523040
45103.495086,476577936
45103.495132,611959176
45103.495178,740306208
45103.495225,894718144
45103.495271,399296760
45103.495317,208642496
45103.495364,853505880
45103.495410,544295416
45103.495456,1243266560
45103.495503,612034432
45103.495549,484937664
45103.495596,1156895712
45103.495679,221021632
45103.495725,166708328
45103.495771,1040138800
45103.495817,736965824
45103.495866,1007478640
45103.495912,477503752
45103.495973,261719200
45103.496019,303229280
45103.496066,1195693424
45103.496145,840372416
45103.496191,840372416
45103.496238,840372416
