Time,CPU Usage
45107.517274,0.5
45107.517320,0.1
45107.517367,0.1
45107.517413,26.7
45107.517459,44.1
45107.517506,43.7
45107.517553,41.5
45107.517599,41.1
45107.517645,41.8
45107.517691,43.1
45107.517738,41.8
45107.517792,42.7
45107.517837,42.6
45107.517952,29.7
45107.518002,38.4
45107.518043,40.6
45107.518089,43.1
45107.518205,41.3
45107.518248,42.1
45107.518293,39.8
45107.518338,29.1
45107.518385,27.0
45107.518431,33.7
45107.518477,36.8
45107.518525,39.9
45107.518571,44.0
45107.518617,44.6
45107.518668,46.1
45107.518713,44.0
45107.518759,43.3
45107.518805,43.0
45107.518848,18.8
45107.518894,30.2
45107.518940,35.7
45107.518988,40.3
45107.519036,44.6
45107.519084,44.2
45107.519129,44.4
45107.519174,43.5
45107.519222,44.9
45107.519265,42.8
45107.519311,29.4
45107.519357,60.5
45107.519403,72.8
45107.519450,70.8
45107.519496,73.9
45107.519542,73.1
45107.519589,74.9
45107.519635,73.7
45107.519681,74.3
45107.519728,74.5
45107.519775,50.5
45107.519820,52.4
45107.519866,70.0
45107.519913,62.3
45107.519959,69.7
45107.520005,69.0
45107.520052,72.1
45107.520098,73.2
45107.520145,72.8
45107.520191,73.7
45107.520237,65.4
45107.520283,40.6
45107.520330,69.5
45107.520376,69.8
45107.520422,78.2
45107.520469,81.9
45107.520515,81.2
45107.520561,81.3
45107.520608,79.3
45107.520654,79.3
45107.520700,81.1
45107.520747,34.5
45107.520793,51.5
45107.520839,68.0
45107.521190,99.0
45107.521236,53.3
45107.521283,0.0
45107.521329,0.0
45107.521375,0.1
45107.521421,0.0
45107.521468,0.0
45107.521514,0.0
