Time,Used
45107.517228,86642392
45107.517274,86642392
45107.517320,86642392
45107.517367,86642392
45107.517413,78286256
45107.517459,330118640
45107.517506,288235888
45107.517552,347982264
45107.517598,146861536
45107.517644,306172376
45107.517691,62870544
45107.517737,213960520
45107.517784,356605888
45107.517830,163693312
45107.517944,214150816
45107.517991,272932024
45107.518038,356880080
45107.518084,96905888
45107.518199,264791904
45107.518245,331937008
45107.518292,373936672
45107.518338,197826728
45107.518384,273494328
45107.518431,114225864
45107.518477,114279568
45107.518523,189802496
45107.518570,340881120
45107.518616,114495792
45107.518662,248746960
45107.518709,366219400
45107.518755,156621824
45107.518801,332825984
45107.518848,324441920
45107.518894,173653936
45107.518940,198902416
45107.518986,333144224
45107.519033,157027728
45107.519079,333244928
45107.519125,157145424
45107.519172,341747584
45107.519218,199202848
45107.519264,375419904
45107.519311,157334352
45107.519357,98666776
45107.519403,174178816
45107.519450,182595760
45107.519496,191044544
45107.519542,216259264
45107.519589,249845088
45107.519635,249913824
45107.519681,300307296
45107.519727,333899280
45107.519774,149414176
45107.519820,48852160
45107.519866,57246080
45107.519913,350866400
45107.519959,300577760
45107.520005,258655840
45107.520052,216738992
45107.520098,208403208
45107.520144,233606840
45107.520191,292375232
45107.520237,284057240
45107.520283,342975464
45107.520330,334764232
45107.520376,41199664
45107.520422,133491584
45107.520468,217407072
45107.520515,318097256
45107.520561,41342880
45107.520607,91740560
45107.520654,150503000
45107.520700,217684592
45107.520746,158995520
45107.520793,243128528
45107.520839,167686272
45107.520906,159309488
45107.521236,58913216
45107.521282,58913216
45107.521329,58913216
