Time,Live threads
45107.517229,29
45107.517274,29
45107.517320,29
45107.517367,29
45107.517413,49
45107.517459,50
45107.517506,56
45107.517553,56
45107.517598,56
45107.517645,56
45107.517691,56
45107.517738,56
45107.517785,56
45107.517833,56
45107.517949,56
45107.517994,56
45107.518039,56
45107.518086,56
45107.518206,56
45107.518248,55
45107.518292,54
45107.518338,54
45107.518385,61
45107.518431,61
45107.518477,61
45107.518524,61
45107.518570,63
45107.518617,63
45107.518664,63
45107.518710,63
45107.518756,63
45107.518802,63
45107.518848,63
45107.518894,63
45107.518940,63
45107.518988,62
45107.519034,62
45107.519081,62
45107.519127,62
45107.519174,62
45107.519218,62
45107.519265,62
45107.519311,62
45107.519357,62
45107.519403,62
45107.519450,62
45107.519496,62
45107.519542,62
45107.519589,62
45107.519635,62
45107.519681,62
45107.519727,62
45107.519775,62
45107.519820,62
45107.519866,62
45107.519913,61
45107.519959,61
45107.520005,55
45107.520052,55
45107.520098,55
45107.520144,55
45107.520191,54
45107.520237,54
45107.520283,63
45107.520330,63
45107.520376,63
45107.520422,63
45107.520469,63
45107.520515,63
45107.520561,63
45107.520608,63
45107.520654,63
45107.520700,63
45107.520746,63
45107.520793,63
45107.520839,63
45107.521190,62
45107.521190,62
45107.521236,62
45107.521282,62
45107.521329,62
45107.521375,62
45107.521421,62
