Time,CPU Usage
45093.493419,0.6
45093.493466,2.4
45093.493512,37.6
45093.493558,17.7
45093.493604,17.8
45093.493651,10.5
45093.493697,10.3
45093.493743,10.3
45093.493790,10.2
45093.493836,10.1
45093.493882,9.6
45093.493929,10.1
45093.493975,10.0
45093.494021,10.0
45093.494068,10.3
45093.494114,10.3
45093.494160,9.4
45093.494207,12.4
45093.494253,10.0
45093.494299,10.4
45093.494346,9.9
45093.494392,10.2
45093.494438,10.0
45093.494484,9.9
45093.494531,10.0
45093.494577,9.9
45093.494624,10.1
45093.494670,10.1
45093.494716,9.9
45093.494762,10.1
45093.494809,10.2
45093.494855,10.2
45093.494901,6.7
45093.494948,14.5
45093.494994,14.8
45093.495040,14.7
45093.495087,15.2
45093.495133,14.9
45093.495179,15.2
45093.495225,15.4
45093.495272,15.4
45093.495318,15.5
45093.495364,15.6
45093.495411,15.5
45093.495457,15.2
45093.495503,15.5
45093.495550,15.7
45093.495596,8.7
45093.495642,13.5
45093.495689,14.9
45093.495735,14.8
45093.495781,14.7
45093.495828,15.0
45093.495874,15.1
45093.495920,15.6
45093.495966,15.7
45093.496013,15.5
45093.496059,15.6
45093.496106,15.2
45093.496152,15.2
45093.496198,15.4
45093.496244,15.6
45093.496291,13.2
45093.496337,9.3
45093.496383,14.7
45093.496430,14.2
45093.496476,14.5
45093.496522,14.7
45093.496569,14.7
45093.496615,14.5
45093.496661,14.6
45093.496708,14.6
45093.496754,14.5
45093.496800,14.7
45093.496847,14.6
45093.496893,14.6
45093.496939,14.8
45093.496985,14.7
45093.497032,7.7
45093.497078,14.2
45093.497124,14.9
45093.497171,14.0
45093.497217,14.6
45093.497263,14.7
45093.497310,14.8
45093.497356,14.8
45093.497402,14.8
45093.497449,14.7
45093.497495,14.9
45093.497541,14.8
45093.497588,14.9
45093.497634,14.8
45093.497680,14.7
45093.497726,10.6
45093.497773,8.8
45093.497819,10.7
45093.497865,10.3
45093.497912,10.2
45093.497958,10.2
45093.498004,10.4
45093.498051,10.5
45093.498097,10.5
45093.498143,10.4
45093.498189,10.5
45093.498236,10.4
45093.498282,10.6
45093.498328,10.6
45093.498375,10.6
45093.498421,10.7
45093.498467,7.9
45093.498514,8.9
45093.498560,10.3
45093.498606,10.4
45093.498653,10.1
45093.498699,10.2
45093.498745,10.4
45093.498792,10.5
45093.498838,10.4
45093.498884,10.5
45093.498930,10.4
45093.498977,10.5
45093.499023,10.6
45093.499069,10.5
45093.499116,10.6
45093.499162,11.8
