Time,Used
45093.493373,53149608
45093.493419,53149608
45093.493465,86704040
45093.493512,68199632
45093.493558,252907072
45093.493604,118863456
45093.493651,211183864
45093.493697,160894656
45093.493743,110816880
45093.493790,337443488
45093.493836,169957440
45093.493882,287296984
45093.493929,212058272
45093.493975,69844032
45093.494021,254392080
45093.494068,262711008
45093.494114,178986104
45093.494160,137052816
45093.494207,247610896
45093.494253,281286792
45093.494299,54949280
45093.494345,298111136
45093.494392,239420824
45093.494438,214596608
45093.494484,105305664
45093.494531,71981416
45093.494577,72107392
45093.494623,164520192
45093.494670,164804856
45093.494716,156495576
45093.494762,265435808
45093.494809,315927288
45093.494855,207029208
45093.494901,317522608
45093.494948,225050032
45093.494994,275432368
45093.495040,283621984
45093.495086,49250912
45093.495133,158888736
45093.495179,376722184
45093.495225,268452048
45093.495272,234469376
45093.495318,268744992
45093.495364,344001552
45093.495411,50728976
45093.495457,369342400
45093.495503,51436072
45093.495550,135096160
45093.495596,118748984
45093.495642,311557648
45093.495689,194117808
45093.495735,43500064
45093.495781,253397568
45093.495827,186136344
45093.495874,102473312
45093.495920,287711128
45093.495966,111241136
45093.496013,246169304
45093.496059,329886432
45093.496105,329767584
45093.496152,288057936
45093.496198,321598552
45093.496244,380890664
45093.496291,296717680
45093.496337,123041024
45093.496383,324863200
45093.496430,248871704
45093.496476,216033664
45093.496522,215958688
45093.496569,275399640
45093.496615,300172928
45093.496661,200057904
45093.496707,74201960
45093.496754,301149056
45093.496800,217143872
45093.496846,142382592
45093.496893,41507952
45093.496939,386299392
45093.496985,42634160
45093.497032,76714760
45093.497078,387576136
45093.497124,110027776
45093.497171,345473296
45093.497217,311623776
45093.497263,244573184
45093.497309,170155072
45093.497356,118981248
45093.497402,135976512
45093.497448,111306944
45093.497495,145843376
45093.497541,179005640
45093.497587,237408432
45093.497634,279456304
45093.497680,313721496
45093.497726,204750072
45093.497773,392342536
45093.497819,350533632
45093.497865,258622688
45093.497912,57827504
45093.497958,149799784
45093.498004,259067200
45093.498050,58243712
45093.498097,284689632
45093.498143,167695984
45093.498189,49961424
45093.498236,310287576
45093.498282,234587136
45093.498328,168523880
45093.498375,92074632
45093.498421,394933536
45093.498467,110106368
45093.498514,354257088
45093.498560,110619904
45093.498606,228139392
45093.498653,278939920
45093.498699,354226528
45093.498745,111755552
45093.498791,270769744
45093.498838,102817696
45093.498884,304680968
45093.498930,111736944
45093.498977,355320120
45093.499023,279377344
45093.499069,195693344
45093.499116,120671640
45093.499162,271912592
45093.499208,229719104
45093.499255,229719104
45093.499301,229719104
