Time,Live threads
45106.553424,27
45106.553468,28
45106.553515,58
45106.553561,58
45106.553607,64
45106.553653,64
45106.553700,64
45106.553746,66
45106.553792,66
45106.553839,66
45106.553885,66
45106.553931,66
45106.553978,66
45106.554024,66
45106.554070,66
45106.554117,66
45106.554163,66
45106.554209,66
45106.554255,66
45106.554302,66
45106.554349,66
45106.554463,74
45106.554507,74
45106.554553,74
45106.554633,74
45106.554680,74
45106.554726,74
45106.554806,74
45106.554852,74
45106.554934,77
45106.554980,77
45106.555026,77
45106.555101,77
45106.555147,77
45106.555194,77
45106.555274,77
45106.555320,77
45106.555391,77
45106.555440,93
45106.555507,93
45106.555553,93
45106.555629,93
45106.555675,93
45106.555721,93
45106.555810,93
45106.555856,93
45106.555976,98
45106.556022,98
45106.556104,98
45106.556151,98
45106.556204,98
45106.556250,98
45106.556297,98
45106.556395,107
45106.556440,107
45106.556515,107
45106.556562,107
45106.556610,107
45106.556691,107
45106.556737,107
45106.556813,107
45106.556860,107
45106.556907,107
45106.556982,107
45106.557030,107
45106.557106,107
45106.557151,107
45106.557198,107
45106.557247,107
45106.557293,107
45106.557339,107
45106.557385,107
45106.557431,107
45106.557478,107
45106.557524,107
