Time,CPU Usage
45107.547445,0.4
45107.547491,0.1
45107.547538,0.1
45107.547584,3.8
45107.547630,49.1
45107.547677,36.1
45107.547723,16.9
45107.547769,14.9
45107.547816,15.0
45107.547862,13.8
45107.547908,14.7
45107.547955,15.7
45107.548001,14.1
45107.548047,15.0
45107.548093,8.5
45107.548140,12.8
45107.548186,14.3
45107.548232,12.6
45107.548279,13.5
45107.548326,14.8
45107.548373,14.5
45107.548419,14.9
45107.548493,14.8
45107.548539,15.2
45107.548633,12.9
45107.548679,19.6
45107.548725,17.6
45107.548775,18.6
45107.548822,19.7
45107.548868,18.7
45107.548958,19.4
45107.549004,19.2
45107.549081,15.6
45107.549127,14.0
45107.549187,18.4
45107.549234,17.9
45107.549284,19.3
45107.549388,19.3
45107.549435,19.6
45107.549535,19.4
45107.549580,15.2
45107.549657,16.8
45107.549703,21.6
45107.549803,21.0
45107.549850,19.9
45107.549896,19.6
45107.549943,20.9
45107.549988,20.0
45107.550098,20.6
45107.550144,13.4
45107.550193,18.3
45107.550238,20.6
45107.550284,19.3
45107.550331,20.3
45107.550377,20.9
45107.550423,20.5
45107.550470,21.0
45107.550516,21.2
45107.550562,21.2
45107.550608,19.8
45107.550655,21.0
45107.550701,11.3
45107.550748,18.0
45107.550825,21.5
45107.550871,21.0
45107.550931,21.7
45107.550977,21.7
45107.551028,21.3
45107.551136,21.0
45107.551181,20.5
45107.551271,21.8
45107.551317,14.1
45107.551399,17.6
45107.551446,21.7
45107.551517,20.2
45107.551563,21.9
45107.551626,21.2
45107.551672,21.6
45107.551736,21.7
45107.551783,21.3
45107.551858,22.0
45107.551904,21.0
45107.551950,14.2
45107.551996,0.0
45107.552042,0.0
45107.552089,0.0
45107.552135,0.0
