Time,Used
45107.547399,86599704
45107.547445,86599704
45107.547491,86599704
45107.547538,86599704
45107.547584,59506848
45107.547630,36174920
45107.547676,35035976
45107.547723,62060872
45107.547769,78597856
45107.547815,87546448
45107.547862,37372768
45107.547908,79984720
45107.547954,88563904
45107.548001,80388480
45107.548047,47301792
45107.548093,72395104
45107.548140,47849984
45107.548186,56147232
45107.548232,65606464
45107.548279,56689360
45107.548325,73954304
45107.548371,40617904
45107.548418,49453792
45107.548492,49933608
45107.548539,92059536
45107.548632,67969088
45107.548678,85206480
45107.548725,44928736
45107.548775,62555648
45107.548821,78831712
45107.548867,62107144
45107.548957,46988224
45107.549003,81252240
45107.549079,81215600
45107.549125,65199800
45107.549186,65084784
45107.549233,82654112
45107.549279,91394560
45107.549387,84048992
45107.549433,47064400
45107.549534,56660384
45107.549580,48962328
45107.549656,83585088
45107.549702,84709960
45107.549803,135989696
45107.549849,186078080
45107.549895,203347744
45107.549942,279192384
45107.549988,330090992
45107.550097,145584024
45107.550143,145019992
45107.550192,111837168
45107.550238,137107280
45107.550284,113487968
45107.550330,153970448
45107.550377,221412832
45107.550423,264272352
45107.550469,338786304
45107.550516,70880816
45107.550562,155694432
45107.550608,196606464
45107.550655,247396792
45107.550701,105287648
45107.550748,350372160
45107.550824,124736936
45107.550870,155991488
45107.550929,223641664
45107.550976,341511696
45107.551022,410815312
45107.551134,299560640
45107.551181,333376752
45107.551270,64942912
45107.551316,106583960
45107.551398,309086336
45107.551444,402841184
45107.551516,342576560
45107.551562,82049848
45107.551625,165213392
45107.551671,267212384
45107.551736,99337584
45107.551782,158751232
45107.551857,284934120
45107.551903,360007680
45107.551950,393870048
45107.551996,393870048
