Time,Live threads
45107.547400,28
45107.547445,29
45107.547491,29
45107.547538,29
45107.547585,59
45107.547631,81
45107.547677,81
45107.547723,87
45107.547769,87
45107.547815,87
45107.547862,87
45107.547908,87
45107.547955,87
45107.548001,87
45107.548047,87
45107.548093,87
45107.548140,87
45107.548186,87
45107.548232,87
45107.548279,87
45107.548326,87
45107.548372,87
45107.548418,86
45107.548493,84
45107.548539,83
45107.548633,93
45107.548679,93
45107.548725,93
45107.548775,93
45107.548821,93
45107.548868,93
45107.548957,93
45107.549003,93
45107.549079,93
45107.549126,93
45107.549186,93
45107.549233,93
45107.549279,93
45107.549387,93
45107.549433,93
45107.549534,93
45107.549580,93
45107.549660,123
45107.549703,123
45107.549803,123
45107.549850,123
45107.549895,123
45107.549942,123
45107.549988,123
45107.550097,123
45107.550144,123
45107.550192,123
45107.550238,123
45107.550284,123
45107.550331,123
45107.550377,123
45107.550423,123
45107.550470,123
45107.550516,123
45107.550562,123
45107.550608,123
45107.550655,123
45107.550702,172
45107.550748,174
45107.550824,174
45107.550870,174
45107.550930,174
45107.550976,174
45107.551023,174
45107.551134,174
45107.551181,174
45107.551270,174
45107.551317,174
45107.551398,174
45107.551444,173
45107.551516,173
45107.551563,173
45107.551625,173
45107.551671,173
45107.551736,173
45107.551782,173
45107.551858,173
45107.551903,173
45107.551950,173
45107.551996,173
45107.552042,173
