Time,CPU Usage
45106.580436,0.5
45106.580482,0.0
45106.580528,0.2
45106.580575,41.3
45106.580623,37.9
45106.580669,28.8
45106.580716,32.5
45106.580761,29.1
45106.580808,29.1
45106.580854,30.0
45106.580899,29.4
45106.580947,28.2
45106.580994,27.5
45106.581038,14.7
45106.581103,30.2
45106.581142,32.4
45106.581186,26.7
45106.581270,27.5
45106.581317,29.3
45106.581397,28.4
45106.581447,29.4
45106.581495,28.3
45106.581596,20.2
45106.581629,23.7
45106.581679,24.8
45106.581772,29.2
45106.581877,29.3
45106.581993,27.4
45106.582076,20.4
45106.582123,19.7
45106.582164,26.6
45106.582289,29.0
45106.582339,30.9
45106.582383,27.7
45106.582430,26.7
45106.582479,28.8
45106.582527,28.3
45106.582614,21.0
45106.582660,19.8
45106.582708,19.5
45106.582765,23.6
45106.582804,19.9
45106.582913,22.3
45106.583025,21.2
45106.583075,18.1
45106.583167,17.5
45106.583217,14.7
45106.583295,19.3
45106.583347,23.8
45106.583398,19.1
45106.583508,19.7
45106.583629,22.0
45106.583675,21.6
45106.583734,17.3
45106.583778,14.6
45106.583849,17.2
45106.583936,24.4
45106.583980,20.2
45106.584062,19.7
45106.584104,23.6
45106.584180,19.3
45106.584229,17.2
45106.584352,21.2
45106.584420,16.0
45106.584468,19.8
45106.584516,16.5
45106.584646,24.0
45106.584702,20.5
45106.584750,24.4
45106.584796,21.5
45106.584839,20.4
45106.584885,21.3
45106.584930,23.0
45106.584980,22.4
45106.585026,19.9
45106.585073,20.2
45106.585113,6.7
45106.585160,0.3
45106.585206,0.0
45106.585252,0.0
45106.585298,0.0
45106.585345,0.1
