Time,Used
45099.466265,53041480
45099.466311,53041480
45099.466358,823087616
45099.466404,1176458240
45099.466450,344578560
45099.466497,863982144
45099.466543,1693407776
45099.466589,2280511216
45099.466636,343890480
45099.466682,1492117024
45099.466728,2250614864
45099.466775,555630144
45099.466821,1435692592
45099.466867,1648691808
45099.466914,2788600400
45099.466960,1001927760
45099.467006,2398729232
45099.467053,626744944
45099.467099,767302224
45099.467145,678526080
45099.467192,1298232416
45099.467238,1684108384
45099.467284,2488366160
45099.467330,2232565264
45099.467377,311746576
45099.467423,963030112
45099.467469,1520185360
45099.467516,2083272752
45099.467562,2781622336
45099.467608,2600218736
45099.467655,364815408
45099.467701,2998941744
45099.467747,2926665824
45099.467794,542494544
45099.467840,1054289984
45099.467886,2578163216
45099.467933,1554753040
45099.467979,1078447200
45099.468025,636996624
45099.468072,2225589312
45099.468118,1014483984
45099.468164,1075398192
45099.468211,1297849488
45099.468257,1423932016
45099.468303,1622216256
45099.468350,2581776000
45099.468396,2036628080
45099.468442,2437292624
45099.468488,2359790128
45099.468535,3115919936
45099.468581,3104472592
45099.468627,1168875056
45099.468674,1445941760
45099.468720,2255349296
45099.468766,2144200208
45099.468813,1372744720
45099.468859,1567779888
45099.468905,2171759664
45099.468952,1888644176
45099.468998,2077636624
45099.469044,2117606000
45099.469091,1786007616
45099.469137,1817464864
45099.469183,1409753008
45099.469230,965365328
45099.469276,823811712
45099.469322,1185932400
45099.469369,1166009408
45099.469415,785412728
45099.469461,1259334752
45099.469507,813979784
45099.469554,2523722032
45099.469600,1661476984
45099.469646,3228806448
45099.469693,1122384568
45099.469739,1695330752
45099.469785,2752122368
45099.469832,553700080
45099.469878,983896672
45099.469924,1152365504
45099.469971,1944845648
45099.470017,2558203992
45099.470063,2710534960
45099.470110,2919499920
45099.470156,2475587184
45099.470202,1528430624
45099.470249,3064661552
45099.470295,1422510256
45099.470341,994373144
45099.470388,2902750240
45099.470434,3165380816
45099.470480,3338460272
45099.470526,2978668096
45099.470573,3400068904
45099.470619,622902808
45099.470665,2904682752
45099.470712,715665408
45099.470758,2047417184
45099.470804,2588630576
45099.470851,3031394200
45099.470897,705730752
45099.470943,2958473216
45099.470990,1152824352
45099.471036,2242084432
45099.471082,3321237856
45099.471129,609476432
45099.471175,1239207648
45099.471221,3025387456
45099.471268,2152026984
45099.471314,879720768
45099.471360,759406976
45099.471407,1994028632
45099.471453,760866760
45099.471499,778086376
45099.471546,507575376
45099.471592,1191847248
45099.471638,2381509184
45099.471685,837841296
45099.471731,3048296464
45099.471777,1904825080
45099.471824,2832818640
45099.471870,2011109168
45099.471916,1150489872
45099.471962,2597323512
45099.472009,1266052528
45099.472055,3136305448
45099.472101,1852622896
45099.472148,2363229616
45099.472194,931484576
45099.472240,3267789968
45099.472287,821125160
45099.472333,1283901328
45099.472379,1315030776
45099.472426,3107542760
45099.472472,2325100704
45099.472519,2176958832
45099.472576,1380130304
45099.472697,2581216240
45099.472743,503710072
45099.472827,2459757928
45099.472874,1078772536
45099.472920,3055359504
45099.472998,774316416
45099.473044,774316416
45099.473091,774316416
45099.473137,774316416
