Time,Live threads
45099.466266,21
45099.466311,22
45099.466359,42
45099.466404,42
45099.466450,42
45099.466498,43
45099.466544,43
45099.466589,43
45099.466636,43
45099.466683,43
45099.466729,43
45099.466775,43
45099.466822,43
45099.466868,43
45099.466914,43
45099.466961,43
45099.467007,43
45099.467053,43
45099.467099,49
45099.467145,49
45099.467192,48
45099.467239,48
45099.467284,48
45099.467331,45
45099.467377,45
45099.467424,45
45099.467470,45
45099.467517,45
45099.467563,45
45099.467609,45
45099.467655,45
45099.467702,45
45099.467748,45
45099.467795,45
45099.467841,55
45099.467888,55
45099.467934,55
45099.467980,55
45099.468026,55
45099.468073,55
45099.468120,55
45099.468168,55
45099.468211,55
45099.468261,55
45099.468305,55
45099.468350,55
45099.468397,55
45099.468444,55
45099.468491,55
45099.468537,55
45099.468584,55
45099.468628,55
45099.468674,55
45099.468722,55
45099.468768,55
45099.468816,55
45099.468861,55
45099.468907,55
45099.468954,55
45099.469000,55
45099.469046,55
45099.469093,55
45099.469139,55
45099.469185,55
45099.469232,55
45099.469278,55
45099.469324,55
45099.469369,55
45099.469417,55
45099.469461,55
45099.469507,55
45099.469555,55
45099.469601,55
45099.469649,55
45099.469694,55
45099.469740,55
45099.469787,55
45099.469833,55
45099.469879,55
45099.469925,55
45099.469972,55
45099.470018,45
45099.470064,45
45099.470113,45
45099.470157,45
45099.470202,45
45099.470249,45
45099.470296,45
45099.470342,45
45099.470388,45
45099.470435,45
45099.470481,45
45099.470527,46
45099.470574,46
45099.470620,46
45099.470667,46
45099.470713,46
45099.470759,46
45099.470806,46
45099.470851,46
45099.470898,46
45099.470945,46
45099.470991,46
45099.471037,46
45099.471084,55
45099.471130,56
45099.471177,56
45099.471223,56
45099.471269,56
45099.471316,56
45099.471363,56
45099.471409,56
45099.471454,56
45099.471502,56
45099.471546,56
45099.471596,56
45099.471639,56
45099.471687,56
45099.471732,56
45099.471778,56
45099.471826,56
45099.471874,56
45099.471918,56
45099.471965,56
45099.472010,56
45099.472055,56
45099.472101,56
45099.472149,56
45099.472197,56
45099.472242,56
45099.472289,56
45099.472335,56
45099.472382,56
45099.472426,56
45099.472474,56
45099.472522,56
45099.472578,56
45099.472701,56
45099.472746,56
45099.472828,56
45099.472876,56
45099.472923,56
45099.472998,56
45099.473044,56
45099.473091,56
45099.473137,56
45099.473183,56
45099.473230,56
45099.473276,56
