Time,CPU Usage
45106.540906,0.4
45106.540953,0.1
45106.540999,0.1
45106.541046,33.6
45106.541092,35.9
45106.541138,37.6
45106.541184,32.6
45106.541231,33.4
45106.541277,32.3
45106.541323,32.8
45106.541370,32.5
45106.541416,33.4
45106.541462,32.8
45106.541534,17.0
45106.541556,25.0
45106.541609,32.8
45106.541667,32.3
45106.541714,33.7
45106.541760,32.6
45106.541814,32.8
45106.541860,33.3
45106.541907,33.1
45106.541952,25.3
45106.542063,24.4
45106.542100,29.9
45106.542146,36.1
45106.542230,35.6
45106.542277,35.3
45106.542323,35.8
45106.542399,35.9
45106.542523,26.7
45106.542627,28.0
45106.542674,36.1
45106.542720,36.4
45106.542817,36.8
45106.542864,36.5
45106.542946,19.2
45106.542990,8.8
45106.543110,8.7
45106.543156,8.7
45106.543232,8.7
45106.543278,9.0
45106.543324,8.7
45106.543370,7.4
45106.543418,4.6
45106.543532,8.9
45106.543578,8.7
45106.543670,8.6
45106.543715,8.4
45106.543791,9.0
45106.543837,8.3
45106.544028,9.2
45106.544233,10.1
45106.544590,6.7
45106.544778,10.4
45106.544809,6.8
45106.544856,0.0
45106.544902,0.0
45106.544948,0.0
45106.544994,0.0
45106.545041,0.0
