Time,Used
45093.575926,52988832
45093.575972,61377440
45093.576018,61377440
45093.576064,61377440
45093.576111,66737672
45093.576157,91617368
45093.576203,83349312
45093.576250,91830192
45093.576296,75183120
45093.576342,33391136
45093.576388,75412512
45093.576435,67150184
45093.576481,92412224
45093.576527,50587528
45093.576574,75894784
45093.576620,50841624
45093.576666,76137696
45093.576713,25922176
45093.576759,51218704
45093.576805,77554256
45093.576852,69349264
45093.576898,86304136
45093.576944,69522272
45093.576991,44477152
45093.577037,27835280
45093.577083,86663840
45093.577129,61626032
45093.577176,53378944
45093.577222,53494400
45093.577268,45236544
45093.577315,87281528
45093.577361,45453424
45093.577407,53968752
45093.577454,70850336
45093.577500,87698992
45093.577546,29315416
45093.577593,63005472
45093.577639,79947072
45093.577685,46533520
45093.577732,88582640
45093.577778,88701200
45093.577824,30123408
45093.577871,47001880
45093.577917,80678144
45093.577963,64042832
45093.578010,30617760
45093.578056,72664064
45093.578102,89574968
45093.578149,30977792
45093.578195,64629640
45093.578241,64888288
45093.578288,90155312
45093.578334,39968576
45093.578380,65255488
45093.578426,31829992
45093.578473,82261184
45093.578519,65611392
45093.578565,90896968
45093.578612,49081032
45093.578658,49199472
45093.578704,32541280
45093.578751,74564448
45093.578797,41131824
45093.578843,83186720
45093.578890,66501760
45093.578936,66925808
45093.578982,84262624
45093.579029,76466744
45093.579077,51914864
45093.579123,69245264
45093.579169,53044288
45093.579216,70392256
45093.579262,54173152
45093.579308,79880704
45093.579355,38488224
45093.579401,47401728
45093.579447,56321184
45093.579494,90401056
45093.579540,225105232
45093.579586,233601424
45093.579632,292495800
45093.579679,359758792
45093.579725,234027024
45093.579771,141937088
45093.579818,183991848
45093.579864,167342960
45093.579910,226189952
45093.579957,134050088
45093.580003,192911400
45093.580049,327243872
45093.580096,117685240
45093.580142,184880456
45093.580188,92733856
45093.580235,319320296
45093.580281,134905520
45093.580327,294429392
45093.580373,43093776
45093.580420,135476888
45093.580466,253065752
45093.580512,270011368
45093.580559,186318120
45093.580605,203210104
45093.580651,211761488
45093.580698,44145584
45093.580744,279150288
45093.580790,354788640
45093.580837,94913576
45093.580883,153725600
45093.580929,262944656
45093.580976,221118208
45093.581022,61897608
45093.581068,322256848
45093.581115,297225600
45093.581161,305744952
45093.581207,54263296
45093.581253,314447400
45093.581300,88157024
45093.581346,230901528
45093.581392,331674944
45093.581439,71798024
45093.581485,155816416
45093.581531,248222184
45093.581578,332244712
45093.581624,156234184
45093.581670,391236336
45093.581717,248774208
45093.581763,265626920
45093.581809,265626920
45093.581856,265626920
