Time,Live threads
45093.575926,21
45093.575972,22
45093.576018,22
45093.576064,22
45093.576111,43
45093.576157,43
45093.576203,43
45093.576250,43
45093.576296,43
45093.576342,43
45093.576388,43
45093.576435,43
45093.576481,43
45093.576528,43
45093.576574,43
45093.576620,43
45093.576666,43
45093.576713,43
45093.576759,43
45093.576805,49
45093.576852,49
45093.576898,49
45093.576944,48
45093.576991,46
45093.577037,46
45093.577083,46
45093.577129,46
45093.577176,46
45093.577222,46
45093.577269,46
45093.577315,46
45093.577361,45
45093.577407,45
45093.577454,45
45093.577500,51
45093.577546,51
45093.577593,53
45093.577639,58
45093.577685,58
45093.577732,58
45093.577778,58
45093.577824,58
45093.577871,58
45093.577917,58
45093.577963,58
45093.578010,58
45093.578056,58
45093.578102,58
45093.578149,58
45093.578195,58
45093.578241,58
45093.578288,58
45093.578334,57
45093.578380,57
45093.578426,57
45093.578473,57
45093.578519,57
45093.578566,57
45093.578612,57
45093.578658,56
45093.578705,56
45093.578751,56
45093.578797,56
45093.578843,56
45093.578890,56
45093.578936,56
45093.578982,56
45093.579029,56
45093.579077,56
45093.579123,56
45093.579169,56
45093.579216,56
45093.579262,56
45093.579308,56
45093.579355,56
45093.579401,56
45093.579447,56
45093.579494,56
45093.579540,53
45093.579586,53
45093.579632,45
45093.579679,45
45093.579725,45
45093.579771,45
45093.579818,45
45093.579864,45
45093.579910,45
45093.579957,45
45093.580003,45
45093.580049,45
45093.580096,45
45093.580142,45
45093.580188,45
45093.580235,45
45093.580281,45
45093.580327,48
45093.580374,51
45093.580420,51
45093.580466,51
45093.580513,51
45093.580559,51
45093.580605,51
45093.580651,51
45093.580698,51
45093.580744,51
45093.580791,51
45093.580837,51
45093.580883,51
45093.580929,51
45093.580976,51
45093.581022,51
45093.581068,52
45093.581115,52
45093.581162,52
45093.581207,52
45093.581254,52
45093.581300,52
45093.581346,52
45093.581392,52
45093.581439,52
45093.581485,52
45093.581531,52
45093.581578,52
45093.581624,52
45093.581670,52
45093.581717,52
45093.581763,46
45093.581809,46
45093.581856,46
45093.581902,46
45093.581948,46
