Time,CPU Usage
45103.498542,0.5
45103.498589,0.0
45103.498635,0.1
45103.498682,35.7
45103.498729,42.1
45103.498775,35.8
45103.498821,36.1
45103.498868,32.6
45103.498914,30.8
45103.498960,30.8
45103.499007,31.9
45103.499053,32.5
45103.499099,32.3
45103.499145,31.0
45103.499192,30.2
45103.499238,30.5
45103.499284,29.7
45103.499331,30.5
45103.499377,17.8
45103.499423,29.1
45103.499469,29.8
45103.499516,29.2
45103.499562,29.9
45103.499608,29.9
45103.499655,30.3
45103.499701,30.2
45103.499747,30.2
45103.499794,29.3
45103.499840,29.6
45103.499886,30.1
45103.499932,29.7
45103.499979,30.4
45103.500025,30.2
45103.500071,18.7
45103.500119,26.3
45103.500167,33.0
45103.500213,30.7
45103.500259,30.9
45103.500305,31.1
45103.500351,30.8
45103.500399,31.3
45103.500444,30.6
45103.500491,30.8
45103.500537,31.9
45103.500583,30.6
45103.500630,30.7
45103.500676,31.1
45103.500723,31.0
45103.500765,29.3
45103.500812,17.6
45103.500862,30.4
45103.500906,31.5
45103.500955,31.6
45103.501001,31.4
45103.501047,31.7
45103.501093,32.0
45103.501139,30.5
45103.501185,30.5
45103.501232,30.5
45103.501278,30.4
45103.501325,30.7
45103.501370,30.1
45103.501417,30.9
45103.501463,29.7
45103.501507,19.3
45103.501555,26.8
45103.501601,26.9
45103.501649,27.2
45103.501695,23.5
45103.501741,23.5
45103.501787,24.5
45103.501834,22.9
45103.501881,24.9
45103.501927,23.6
45103.501972,22.9
45103.502019,25.4
45103.502066,23.1
45103.502112,23.3
45103.502159,23.1
45103.502205,22.6
45103.502249,15.8
45103.502296,25.2
45103.502342,26.8
45103.502390,28.0
45103.502436,25.2
45103.502482,24.7
45103.502529,22.8
45103.502575,22.3
45103.502622,24.7
45103.502669,23.9
45103.502714,24.3
45103.502761,26.1
45103.502807,23.8
45103.502853,26.4
45103.502900,24.6
45103.502944,23.1
45103.502992,15.4
45103.503040,25.1
45103.503086,25.9
45103.503133,26.5
45103.503180,24.6
45103.503225,25.9
45103.503272,24.5
45103.503319,25.1
45103.503366,26.8
45103.503412,24.9
45103.503455,25.0
45103.503506,26.0
45103.503555,23.9
45103.503673,24.0
45103.503711,22.2
45103.503825,20.6
45103.503894,25.6
45103.503940,24.0
45103.504010,24.3
45103.504056,25.6
45103.504099,23.6
45103.504210,25.0
45103.504256,27.8
45103.504302,24.2
45103.504349,24.3
45103.504426,26.6
45103.504501,16.9
45103.504547,0.0
45103.504593,0.0
45103.504640,0.0
45103.504686,0.0
45103.504732,0.0
45103.504779,0.0
45103.504825,0.0
45103.504872,0.0
