Time,Used
45103.498496,53121928
45103.498542,61510536
45103.498588,61510536
45103.498635,61510536
45103.498681,168133736
45103.498727,730110480
45103.498774,948490768
45103.498820,681405456
45103.498866,1020675456
45103.498913,482720304
45103.498959,758886944
45103.499005,716143632
45103.499052,711619680
45103.499098,644436032
45103.499144,252513920
45103.499190,887279152
45103.499237,494807296
45103.499283,257774112
45103.499329,845501728
45103.499376,349397008
45103.499422,169682208
45103.499468,480422848
45103.499515,268826048
45103.499561,669334544
45103.499607,261074416
45103.499654,729748512
45103.499700,622151344
45103.499746,304661056
45103.499793,723288624
45103.499839,333471856
45103.499885,988160656
45103.499932,457818208
45103.499978,213864512
45103.500024,644333104
45103.500070,402499992
45103.500117,727210576
45103.500163,935407680
45103.500209,944714752
45103.500256,1105376048
45103.500302,767589408
45103.500348,721671264
45103.500395,744612752
45103.500441,603926096
45103.500487,639448024
45103.500534,572789472
45103.500580,624362944
45103.500626,627723328
45103.500673,920132624
45103.500719,967149888
45103.500765,1042859600
45103.500812,817710616
45103.500858,805938224
45103.500904,217980960
45103.500951,670098960
45103.500997,676831120
45103.501043,220879424
45103.501090,273177928
45103.501136,1155461048
45103.501182,1011923760
45103.501229,967762480
45103.501275,809251672
45103.501321,1230009000
45103.501368,971254264
45103.501414,1194330656
45103.501460,438817296
45103.501507,858834528
45103.501553,775364192
45103.501599,534375224
45103.501646,979466368
45103.501692,718756000
45103.501738,752732648
45103.501785,853788512
45103.501831,199829520
45103.501877,962504784
45103.501924,677594480
45103.501970,870871152
45103.502016,678293384
45103.502062,1046699240
45103.502109,747279232
45103.502155,419452224
45103.502201,184896192
45103.502248,246914528
45103.502294,410797456
45103.502340,412134368
45103.502387,531084128
45103.502433,272319584
45103.502479,790666016
45103.502526,1067810416
45103.502572,220928944
45103.502618,364954648
45103.502665,1111828528
45103.502711,1154153312
45103.502758,223270160
45103.502804,541271688
45103.502850,864549224
45103.502896,230635472
45103.502943,1052992520
45103.502989,1221516088
45103.503035,460576096
45103.503082,712039584
45103.503128,620142288
45103.503174,1032663088
45103.503221,519540440
45103.503267,982385328
45103.503313,564422392
45103.503360,463200032
45103.503406,338739968
45103.503452,354787888
45103.503499,935346896
45103.503545,1119359376
45103.503663,281552320
45103.503709,1180582432
45103.503815,332951168
45103.503884,752029608
45103.503930,1214719280
45103.504000,1199497936
45103.504046,860248480
45103.504093,863815800
45103.504200,1209776064
45103.504246,689553816
45103.504292,282833808
45103.504339,262108368
45103.504416,1160326160
45103.504501,1127048952
45103.504547,1127048952
45103.504593,1127048952
