Time,Live threads
45106.567509,28
45106.567555,29
45106.567602,49
45106.567648,49
45106.567695,49
45106.567741,55
45106.567787,55
45106.567833,55
45106.567880,55
45106.567927,55
45106.567973,55
45106.568018,55
45106.568065,55
45106.568111,55
45106.568158,55
45106.568204,55
45106.568250,55
45106.568297,55
45106.568343,55
45106.568389,54
45106.568436,54
45106.568482,54
45106.568528,54
45106.568607,61
45106.568631,63
45106.568678,63
45106.568758,63
45106.568800,63
45106.568894,63
45106.568943,63
45106.569083,63
45106.569110,63
45106.569224,63
45106.569268,63
45106.569348,62
45106.569458,62
45106.569516,62
45106.569585,62
45106.569678,62
45106.569799,62
45106.569846,62
45106.569933,62
45106.570072,62
45106.570099,55
45106.570148,55
45106.570193,52
45106.570273,52
45106.570321,52
45106.570399,52
45106.570445,52
45106.570489,52
45106.570556,62
45106.570631,62
45106.570693,62
45106.570815,62
45106.570861,62
45106.570905,62
45106.570952,62
45106.570997,62
45106.571044,62
45106.571091,62
45106.571136,62
45106.571184,62
45106.571230,62
45106.571277,62
45106.571323,62
45106.571370,62
45106.571418,62
45106.571520,62
45106.571567,62
45106.571613,62
45106.571659,62
